 T: 2018-02-13 16:07:40,165 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b05796c0-134f-4e93-8202-7a6c7e9d37d9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 16:10:27,250 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewPackageForCOMETUser' with id 'bcc936f0-5ec8-4d96-9800-4780fa1ed01c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ClickOption ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 16:10:27,250 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewPackageForCOMETUser' with id 'bcc936f0-5ec8-4d96-9800-4780fa1ed01c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 16:10:27,250 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewPackageForCOMETUser' with id 'bcc936f0-5ec8-4d96-9800-4780fa1ed01c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Package_basedetailsPage ~ MethodName = FillNewPackageDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 16:10:27,250 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewPackageForCOMETUser' with id 'bcc936f0-5ec8-4d96-9800-4780fa1ed01c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Package_basedetailsPage ~ MethodName = PackageCreationFirstStep ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 16:10:40,204 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewPackageForCOMETUser' with id 'bcc936f0-5ec8-4d96-9800-4780fa1ed01c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Package_basedetailsPage ~ MethodName = SearchEmployerRecords ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 16:10:55,391 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewPackageForCOMETUser' with id 'bcc936f0-5ec8-4d96-9800-4780fa1ed01c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Package_basedetailsPage ~ MethodName = SearchEmployerRecords ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 16:11:02,751 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewPackageForCOMETUser' with id 'bcc936f0-5ec8-4d96-9800-4780fa1ed01c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Package_basedetailsPage ~ MethodName = PackageCreationFirstStep ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 16:11:02,751 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewPackageForCOMETUser' with id 'bcc936f0-5ec8-4d96-9800-4780fa1ed01c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Package_basedetailsPage ~ MethodName = PackageCreationSecondStep ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 16:11:20,142 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewPackageForCOMETUser' with id 'bcc936f0-5ec8-4d96-9800-4780fa1ed01c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Package_basedetailsPage ~ MethodName = PackageCreationSecondStep ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 16:11:20,142 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewPackageForCOMETUser' with id 'bcc936f0-5ec8-4d96-9800-4780fa1ed01c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Package_payrolldetailsPage ~ MethodName = PackageCreationThirdStep ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 16:11:34,673 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewPackageForCOMETUser' with id 'bcc936f0-5ec8-4d96-9800-4780fa1ed01c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Package_payrolldetailsPage ~ MethodName = PackageCreationThirdStep ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 16:11:34,673 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewPackageForCOMETUser' with id 'bcc936f0-5ec8-4d96-9800-4780fa1ed01c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Package_basedetailsPage ~ MethodName = FillNewPackageDetails ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 16:11:34,673 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewPackageForCOMETUser' with id 'bcc936f0-5ec8-4d96-9800-4780fa1ed01c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsDefinition ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 16:11:34,673 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewPackageForCOMETUser' with id 'bcc936f0-5ec8-4d96-9800-4780fa1ed01c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidateDisplayOfPackage ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 16:11:34,673 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewPackageForCOMETUser' with id 'bcc936f0-5ec8-4d96-9800-4780fa1ed01c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = VeriFyPackageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 16:11:40,048 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewPackageForCOMETUser' with id 'bcc936f0-5ec8-4d96-9800-4780fa1ed01c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = ExceptionHandler ~ MethodName = HandleException ~ Message = Unable to find element with css selector == #wucPackageSummary_tdEmployeeNo ~ ScreenShot File = 2018213161140 
